Astrocyte,COP,Endothelial,Ependymal,Microglia,Mural,NSC,Neuroblast,OL,OPC,TAP
ENSMUSG00000017144.9,ENSMUSG00000040729.9,ENSMUSG00000036206.13,ENSMUSG00000062760.12,ENSMUSG00000027398.14,ENSMUSG00000062151.14,ENSMUSG00000021087.19,ENSMUSG00000006586.16,ENSMUSG00000025321.15,ENSMUSG00000010064.16,ENSMUSG00000001911.17
ENSMUSG00000071398.9,ENSMUSG00000031284.17,ENSMUSG00000037712.18,ENSMUSG00000046886.7,ENSMUSG00000091996.9,ENSMUSG00000042834.16,ENSMUSG00000070469.13,ENSMUSG00000055612.16,ENSMUSG00000006800.15,ENSMUSG00000025427.16,ENSMUSG00000005089.16
ENSMUSG00000020601.9,ENSMUSG00000046449.16,ENSMUSG00000040987.16,ENSMUSG00000021087.19,ENSMUSG00000041797.8,ENSMUSG00000095304.10,ENSMUSG00000040473.16,ENSMUSG00000045215.18,ENSMUSG00000100147.4,ENSMUSG00000047907.12,ENSMUSG00000028137.10
ENSMUSG00000096054.4,ENSMUSG00000048163.14,ENSMUSG00000052560.16,ENSMUSG00000039960.6,ENSMUSG00000030921.18,ENSMUSG00000041731.14,ENSMUSG00000039194.17,ENSMUSG00000004151.18,ENSMUSG00000041362.18,ENSMUSG00000019846.12,ENSMUSG00000037852.9
ENSMUSG00000028370.8,ENSMUSG00000039546.10,ENSMUSG00000042961.14,ENSMUSG00000029406.16,ENSMUSG00000028859.15,ENSMUSG00000040729.9,ENSMUSG00000017144.9,ENSMUSG00000027849.20,ENSMUSG00000070469.13,ENSMUSG00000035184.16,ENSMUSG00000001300.17
ENSMUSG00000032377.9,ENSMUSG00000024236.19,ENSMUSG00000047414.7,ENSMUSG00000037541.23,ENSMUSG00000028159.15,ENSMUSG00000050157.7,ENSMUSG00000050666.15,ENSMUSG00000027966.21,ENSMUSG00000003534.18,ENSMUSG00000000560.10,ENSMUSG00000039202.13
ENSMUSG00000003949.17,ENSMUSG00000095041.8,ENSMUSG00000032908.10,ENSMUSG00000060962.13,ENSMUSG00000029135.11,ENSMUSG00000040274.12,ENSMUSG00000041731.14,ENSMUSG00000024044.20,ENSMUSG00000001911.17,ENSMUSG00000021087.19,ENSMUSG00000086308.3
ENSMUSG00000039194.17,ENSMUSG00000048416.16,ENSMUSG00000028073.16,ENSMUSG00000024411.12,ENSMUSG00000003420.9,ENSMUSG00000046808.19,ENSMUSG00000073102.8,ENSMUSG00000027210.21,ENSMUSG00000048038.9,ENSMUSG00000039542.17,ENSMUSG00000044229.10
ENSMUSG00000053702.17,ENSMUSG00000021994.16,ENSMUSG00000034881.9,ENSMUSG00000031379.14,ENSMUSG00000032691.15,ENSMUSG00000034738.9,ENSMUSG00000040729.9,ENSMUSG00000025555.15,ENSMUSG00000062591.6,ENSMUSG00000027200.18,ENSMUSG00000025666.17
ENSMUSG00000039706.12,ENSMUSG00000004892.14,ENSMUSG00000029287.15,ENSMUSG00000021665.10,ENSMUSG00000062960.11,ENSMUSG00000031379.14,ENSMUSG00000047193.17,ENSMUSG00000028370.8,ENSMUSG00000033579.17,ENSMUSG00000038267.16,ENSMUSG00000066705.8
ENSMUSG00000072663.13,ENSMUSG00000027858.14,ENSMUSG00000026888.15,ENSMUSG00000019892.14,ENSMUSG00000038352.16,ENSMUSG00000060803.7,ENSMUSG00000008575.18,ENSMUSG00000070880.11,ENSMUSG00000053646.14,ENSMUSG00000048960.14,ENSMUSG00000025789.10
ENSMUSG00000027200.18,ENSMUSG00000038173.16,ENSMUSG00000030551.15,ENSMUSG00000027200.18,ENSMUSG00000045672.16,ENSMUSG00000030551.15,ENSMUSG00000019775.18,ENSMUSG00000041126.17,ENSMUSG00000044647.17,ENSMUSG00000031517.9,ENSMUSG00000025321.15
ENSMUSG00000031379.14,ENSMUSG00000038642.11,ENSMUSG00000020902.13,ENSMUSG00000086851.2,ENSMUSG00000048865.17,ENSMUSG00000036972.15,ENSMUSG00000027692.17,ENSMUSG00000044647.17,ENSMUSG00000039830.10,ENSMUSG00000031284.17,ENSMUSG00000031517.9
