Astrocyte,COP,Endothelial,Ependymal,Microglia,Mural,NSC,Neuroblast,OL,OPC,TAP
ENSMUSG00000028064.18,ENSMUSG00000020914.18,ENSMUSG00000036256.14,ENSMUSG00000018581.16,ENSMUSG00000024042.8,ENSMUSG00000022892.12,ENSMUSG00000028044.7,ENSMUSG00000030539.14,ENSMUSG00000040729.9,ENSMUSG00000057614.7,ENSMUSG00000039607.18
ENSMUSG00000027676.12,ENSMUSG00000039997.17,ENSMUSG00000031379.14,ENSMUSG00000030276.20,ENSMUSG00000023034.8,ENSMUSG00000022297.16,ENSMUSG00000032224.16,ENSMUSG00000032363.16,ENSMUSG00000044229.10,ENSMUSG00000069601.15,ENSMUSG00000026787.4
ENSMUSG00000062760.12,ENSMUSG00000029086.16,ENSMUSG00000029712.15,ENSMUSG00000028583.15,ENSMUSG00000021709.15,ENSMUSG00000031502.12,ENSMUSG00000020014.19,ENSMUSG00000029765.13,ENSMUSG00000063297.8,ENSMUSG00000010505.17,ENSMUSG00000034675.18
ENSMUSG00000029778.13,ENSMUSG00000031610.4,ENSMUSG00000042834.16,ENSMUSG00000026950.19,ENSMUSG00000028976.11,ENSMUSG00000046768.14,ENSMUSG00000032492.15,ENSMUSG00000040896.17,ENSMUSG00000027242.15,ENSMUSG00000053702.17,ENSMUSG00000035805.14
ENSMUSG00000019820.12,ENSMUSG00000022018.8,ENSMUSG00000034037.15,ENSMUSG00000038267.16,ENSMUSG00000005360.15,ENSMUSG00000004151.18,ENSMUSG00000022708.17,ENSMUSG00000037712.18,ENSMUSG00000040254.12,ENSMUSG00000023033.15,ENSMUSG00000040729.9
ENSMUSG00000025321.15,ENSMUSG00000069601.15,ENSMUSG00000001403.14,ENSMUSG00000030539.14,ENSMUSG00000037731.6,ENSMUSG00000022146.13,ENSMUSG00000055254.16,ENSMUSG00000028556.16,ENSMUSG00000025558.20,ENSMUSG00000030643.15,ENSMUSG00000008206.17
ENSMUSG00000027805.17,ENSMUSG00000016356.19,ENSMUSG00000009418.18,ENSMUSG00000036972.15,ENSMUSG00000105504.5,ENSMUSG00000032911.7,ENSMUSG00000014846.13,ENSMUSG00000003534.18,ENSMUSG00000020709.16,ENSMUSG00000097156.9,ENSMUSG00000020601.9
ENSMUSG00000052221.9,ENSMUSG00000059974.11,ENSMUSG00000022840.10,ENSMUSG00000024042.8,ENSMUSG00000090698.3,ENSMUSG00000040260.9,ENSMUSG00000044229.10,ENSMUSG00000039607.18,ENSMUSG00000027692.17,ENSMUSG00000027784.11,ENSMUSG00000028078.15
ENSMUSG00000039607.18,ENSMUSG00000002265.18,ENSMUSG00000046532.9,ENSMUSG00000038668.15,ENSMUSG00000014599.11,ENSMUSG00000024665.9,ENSMUSG00000096054.4,ENSMUSG00000029168.15,ENSMUSG00000024330.18,ENSMUSG00000046768.14,ENSMUSG00000037712.18
ENSMUSG00000026679.4,ENSMUSG00000032744.5,ENSMUSG00000024042.8,ENSMUSG00000031610.4,ENSMUSG00000022636.14,ENSMUSG00000025790.15,ENSMUSG00000028556.16,ENSMUSG00000049281.17,ENSMUSG00000022425.17,ENSMUSG00000028546.18,ENSMUSG00000025964.16
ENSMUSG00000021087.19,ENSMUSG00000096054.4,ENSMUSG00000020601.9,ENSMUSG00000011154.18,ENSMUSG00000026628.14,ENSMUSG00000028358.16,ENSMUSG00000049493.14,ENSMUSG00000021268.19,ENSMUSG00000022231.11,ENSMUSG00000018849.7,ENSMUSG00000009418.18
ENSMUSG00000052397.9,ENSMUSG00000052727.7,ENSMUSG00000035984.15,ENSMUSG00000038453.18,ENSMUSG00000034714.10,ENSMUSG00000006369.15,ENSMUSG00000028583.15,ENSMUSG00000057614.7,ENSMUSG00000022708.17,ENSMUSG00000020897.13,ENSMUSG00000097156.9
ENSMUSG00000019892.14,ENSMUSG00000054675.6,ENSMUSG00000031841.20,ENSMUSG00000018849.7,ENSMUSG00000069769.14,ENSMUSG00000027669.15,ENSMUSG00000038267.16,ENSMUSG00000036206.13,ENSMUSG00000040118.16,ENSMUSG00000033565.19,ENSMUSG00000046449.16
ENSMUSG00000027168.22,ENSMUSG00000015829.14,ENSMUSG00000071847.14,ENSMUSG00000025780.8,ENSMUSG00000020275.10,ENSMUSG00000022231.11,ENSMUSG00000058325.7,ENSMUSG00000097451.12,ENSMUSG00000097736.9,ENSMUSG00000033863.3,ENSMUSG00000022353.11
ENSMUSG00000044229.10,ENSMUSG00000076439.13,ENSMUSG00000041695.3,ENSMUSG00000022658.11,ENSMUSG00000019942.14,ENSMUSG00000007989.8,ENSMUSG00000026301.17,ENSMUSG00000006369.15,ENSMUSG00000016382.16,ENSMUSG00000044229.10,ENSMUSG00000062785.15
ENSMUSG00000073650.10,ENSMUSG00000034349.15,ENSMUSG00000040584.9,ENSMUSG00000035984.15,ENSMUSG00000025591.7,ENSMUSG00000020902.13,ENSMUSG00000001911.17,ENSMUSG00000028044.7,ENSMUSG00000058325.7,ENSMUSG00000027849.20,ENSMUSG00000037747.10
ENSMUSG00000019970.16,ENSMUSG00000048960.14,ENSMUSG00000063796.10,ENSMUSG00000073102.8,ENSMUSG00000047875.7,ENSMUSG00000036745.16,ENSMUSG00000019945.11,ENSMUSG00000025427.16,ENSMUSG00000053007.10,ENSMUSG00000004113.20,ENSMUSG00000000560.10
ENSMUSG00000055717.14,ENSMUSG00000025790.15,ENSMUSG00000044229.10,ENSMUSG00000086308.3,ENSMUSG00000021025.9,ENSMUSG00000000805.19,ENSMUSG00000037541.23,ENSMUSG00000023868.18,ENSMUSG00000028073.16,ENSMUSG00000029406.16,ENSMUSG00000030772.7
ENSMUSG00000040729.9,ENSMUSG00000027674.17,ENSMUSG00000032377.9,ENSMUSG00000040896.17,ENSMUSG00000073490.12,ENSMUSG00000006586.16,ENSMUSG00000028064.18,ENSMUSG00000039194.17,ENSMUSG00000036856.5,ENSMUSG00000006398.16,ENSMUSG00000086496.3
ENSMUSG00000058325.7,ENSMUSG00000058153.16,ENSMUSG00000025324.9,ENSMUSG00000047361.17,ENSMUSG00000022893.15,ENSMUSG00000019846.12,ENSMUSG00000020601.9,ENSMUSG00000047261.10,ENSMUSG00000029108.15,ENSMUSG00000021301.10,ENSMUSG00000039960.6
ENSMUSG00000028556.16,ENSMUSG00000108841.2,ENSMUSG00000026546.17,ENSMUSG00000068748.8,ENSMUSG00000030276.20,ENSMUSG00000039997.17,ENSMUSG00000042707.7,ENSMUSG00000022332.9,ENSMUSG00000026566.16,ENSMUSG00000022840.10,ENSMUSG00000035551.7
