rank,ensembl_id,gene_name,corr,likelihood,spearmans,shap_rank,shap_value,canonical
81,ENSMUSG00000044365.16,Cxxc4,25.1,0.16800393629798874,0.7069326720813643,,,0
82,ENSMUSG00000025964.16,Adam23,24.64,0.30065039894449025,0.7596533175226653,,,0
83,ENSMUSG00000002602.17,Axl,24.55,0.36171580128010256,0.8907622467175602,,,0
84,ENSMUSG00000021994.16,Wnt5a,24.5,0.23192962541193526,0.7438321594398264,,,0
85,ENSMUSG00000024795.12,Kif20b,24.1,0.3014109102612224,0.4486373917278241,,,0
86,ENSMUSG00000006398.16,Cdc20,24.02,0.22121115709597824,0.4329335693456214,,,0
87,ENSMUSG00000022122.16,Ednrb,23.96,0.30523722632883055,0.7036576593252175,,,0
88,ENSMUSG00000030310.12,Slc6a1,23.86,0.16606075479563004,0.8784547134850594,,,0
89,ENSMUSG00000012443.5,Kif11,23.58,0.3589894553007992,0.5389151762040817,,,0
90,ENSMUSG00000020275.10,Rel,23.53,0.16965767012629224,0.799764391459119,,,0
91,ENSMUSG00000029168.15,Dpysl5,23.43,0.5174324179515859,0.8458497723825412,,,0
92,ENSMUSG00000030307.9,Slc6a11,23.12,0.262788964668897,0.5882201030544109,,,0
93,ENSMUSG00000046240.9,Hepacam,22.98,0.4235286510792429,0.821003614058595,,,0
94,ENSMUSG00000038738.16,Shank1,22.98,0.28105434064589435,0.7140373066258618,,,0
95,ENSMUSG00000035805.14,Mlc1,22.94,0.35580182492737467,0.6314682082050845,,,0
96,ENSMUSG00000022261.7,Sdc2,22.85,0.33263473137274086,0.7606955362614124,,,0
97,ENSMUSG00000027253.16,Lrp4,22.81,0.26086831155899814,0.6912118908166646,,,0
98,ENSMUSG00000000359.4,Rem1,22.73,0.2788935242586881,0.6013902026735779,,,0
99,ENSMUSG00000030921.18,Trim30a,22.37,0.11315839549805502,0.8414481731975689,,,0
100,ENSMUSG00000003949.17,Hlf,22.35,0.2255498573246192,0.7347621650780913,,,0
