gene,z,logFC,pvals,p_adj,is_known_marker
Bysl,3.4241552,0.50941056,0.0006167139135439752,0.0025388874147812737,False
Zfp449,3.4223611,0.96938545,0.0006207981509846353,0.002555151787461276,False
Acad8,3.4206002,0.49540526,0.0006248312140687282,0.0025706458740458703,False
Fbxo7,3.4196367,0.98724395,0.0006270482894687361,0.002579212811549998,False
Plod3,3.4167628,0.44055334,0.0006337048385074636,0.0026060328543606242,False
Cdpf1,3.4152012,0.5117193,0.0006373491957013578,0.0026198939554399245,False
Med9,3.4115133,0.25771022,0.0006460336117976692,0.0026544519742798607,False
Cdc42ep1,3.4069948,3.8121645,0.0006568239943092486,0.0026976297053829847,False
1700096K18Rik,3.4068618,0.81187016,0.0006571438811192408,0.002698364458429768,False
Nol8,3.4058318,0.34491587,0.0006596279203556326,0.0027079834336521777,False
Shf,3.4041207,0.6250391,0.000663773940565862,0.0027244197830774246,False
Vac14,3.4023101,0.49445578,0.0006681878562776797,0.0027419484093693207,False
Mogs,3.4002004,0.60740584,0.000673365091416606,0.002761417288327067,False
Emc6,3.3995025,0.16158289,0.00067508543740361,0.002767286396758983,False
Pacsin2,3.3994362,0.68400043,0.0006752494928052245,0.002767366176188264,False
Ankib1,3.3983066,0.35842633,0.0006780441114515001,0.002777629762215381,False
Ago2,3.3980408,0.23244888,0.0006787032294819005,0.0027797348831701462,False
Slc27a3,3.397808,0.53822213,0.0006792804462999082,0.0027815037359293845,False
Timmdc1,3.3932397,0.45906287,0.0006907115648297901,0.0028271019331217607,False
Svil,3.3929076,0.81864774,0.0006915498545465628,0.002829927873886394,False
BC003331,3.3925087,0.27703658,0.0006925570503768419,0.0028334436483887083,False
Oma1,3.3915951,0.9411655,0.0006948703519183138,0.0028423004200394545,False
Pgm3,3.3890533,0.41793734,0.0007013433657376946,0.002868164674541397,False
Rbl2,3.3889372,0.4179211,0.0007016408529674677,0.002868768272793071,False
Epha5,3.3865285,0.41077223,0.0007078295221023914,0.0028928356232153893,False
Alg6,3.3862627,0.758521,0.0007085155081566133,0.002895020988601499,False
Ttc13,3.3855815,0.41842008,0.0007102761681087744,0.0029009764364988978,False
Spata24,3.3846512,0.48807418,0.0007126875408979653,0.002910204148761715,False
Pibf1,3.3839202,0.33110094,0.0007145875247462556,0.002916448970981942,False
Wdr27,3.383887,2.0347457,0.0007146739993680604,0.002916448970981942,False
1190005I06Rik,3.3831062,1.5489943,0.0007167089540652235,0.002924129753113262,False
Urod,3.3826745,0.31548667,0.0007178369851403301,0.0029274839246965223,False
Cope,3.379385,0.19369768,0.0007264816400870388,0.002961476487673234,False
Sorl1,3.375963,2.1630576,0.0007355781493360008,0.00299728128595736,False
Rab5a,3.3741357,0.2627327,0.0007404787283975595,0.003015965606044029,False
Cept1,3.373903,0.48517036,0.0007411046091321995,0.0030175947945041545,False
Sft2d3,3.3724744,0.46567425,0.000744960096954854,0.0030322822832026695,False
Cbr4,3.3691685,0.5939653,0.000753953050059856,0.0030669303772785515,False
Arsb,3.3674574,0.9847786,0.0007586471875692995,0.003084713941552756,False
Pcgf6,3.3660622,0.35658664,0.0007624954910499689,0.0030997028893809163,False
Naprt,3.3650985,2.0652304,0.0007651632225104466,0.003109887219288052,False
Pex11a,3.3641682,0.79722136,0.0007677471836380935,0.0031196279055341796,False
Prex1,3.3641183,1.0406657,0.0007678858384958211,0.0031196279055341796,False
Rhoq,3.363288,0.8992241,0.0007702001782062366,0.003128366131300756,False
Cdc34,3.3620584,0.31708536,0.000773637287572088,0.003141660099054146,False
Acad9,3.358437,0.38039166,0.0007838457662843807,0.003180406287040808,False
Abhd17c,3.3583207,0.32559747,0.0007841756240422996,0.003180406287040808,False
Rab10os,3.3570914,0.38432968,0.0007876705811827603,0.003193904079079841,False
Trmt10a,3.3542008,0.3346483,0.0007959454968884934,0.0032260908227337726,False
Txnrd2,3.35249,0.7210621,0.0008008818070696809,0.003245411159328101,False
Bst2,3.3514433,1.8594674,0.0008039150908413185,0.0032570133199856044,False
Nubp2,3.3500478,0.32306185,0.0008079760542319065,0.0032720807663868933,False
Atl3,3.3493667,0.55576295,0.0008099650965971252,0.0032794419259091134,False
Mrpl27,3.3471906,0.18558198,0.0008163508209606905,0.0033032004994432676,False
Ppcs,3.3446321,1.0421387,0.0008239174251801277,0.003332408199603226,False
Copg2,3.3401802,0.39017352,0.0008372406174027726,0.00338343500347797,False
Copz2,3.3388178,2.796383,0.0008413568716543525,0.0033993517345561855,False
Mycbp,3.3380039,0.5061797,0.0008438255360249389,0.0034086063600635937,False
Vwa8,3.3358278,0.9949197,0.0008504584628916907,0.0034346749359113883,False
Slc35a2,3.3346484,0.62660515,0.0008540735816544532,0.003448547316304764,False
Mthfs,3.3341,0.8021627,0.00085575869472413,0.0034546225813805362,False
Nudcd1,3.3325717,0.3673966,0.0008604728793551891,0.0034726031952544622,False
Osbpl1a,3.3289003,0.496196,0.0008718957492423177,0.0035160583111564937,False
Slc13a3,3.327887,3.003894,0.0008750733370038521,0.0035281290492767486,False
Srprb,3.3225546,0.34156516,0.0008919723777792942,0.003591722983025018,False
Fbxo22,3.322455,0.22694539,0.0008922911084778492,0.0035922506363394104,False
Abhd16a,3.3166738,0.5527654,0.0009109591546157871,0.003666634544730084,False
Polr1b,3.31478,1.0603113,0.000917152826207373,0.003690788044739889,False
Atp13a3,3.3126702,0.2984887,0.0009240987320902895,0.003717176467733512,False
Nfkb1,3.3114078,0.5251359,0.0009282786159924875,0.003730853513540575,False
Scamp3,3.311009,0.4385167,0.0009296022143358892,0.003735388784416247,False
Inpp5a,3.3096135,1.0480056,0.0009342485910538433,0.0037524834804154262,False
Ttc4,3.30664,0.2638071,0.0009442216625812076,0.003790949947585847,False
Rad51b,3.3052444,0.8395983,0.0009489356824150971,0.003809077186607077,False
Rp2,3.3025866,0.46759692,0.000957975131518129,0.0038437496943659268,False
Stt3b,3.300211,0.26610264,0.000966121566861501,0.003875623699048893,False
Lats2,3.2996461,0.90180403,0.0009680678991795476,0.003882617670242532,False
Arhgef10l,3.2987492,0.7721411,0.000971166597862973,0.0038942295236747203,False
Gys1,3.2974534,0.89793307,0.0009756587147428436,0.003911422735957956,False
Hilpda,3.2969053,0.57655877,0.0009775650116838788,0.003918244347354504,False
Ddhd2,3.2963903,0.29647863,0.0009793589167229355,0.003924612710879452,False
