condition,n_TAPs,mean_P_OL,median_P_OL,frac_committed,frac_strong
CD1_Cntl_0wks,876,0.32495605903424657,0.13071315,0.3538812785388128,0.20319634703196346
CD1_Cntl_3wks,1131,0.3256407944456234,0.13973159,0.3421750663129973,0.1847922192749779
CD1_CupRap_0wks,303,0.46511008799009906,0.55727684,0.5247524752475248,0.3465346534653465
CD1_CupRap_3wks,828,0.2771396608731884,0.10684325,0.2669082125603865,0.15096618357487923
NesCre_Cntl_3wks,1175,0.29223017006723406,0.107917085,0.29531914893617023,0.1548936170212766
NesCre_CupRap_3wks,889,0.2619432169448819,0.09387504,0.24746906636670415,0.12373453318335208
